epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0696,1.63616,4.91921,1.10526,0.33234,0.40633,0.28335,0.12151,1.97796,4.02375,1.55601,0.000545182,0.000545182,0.000545182
2,38.8853,1.68241,1.97261,1.18942,0.69964,0.5266,0.59444,0.26837,1.85348,2.31926,1.52501,0.00107905,0.00107905,0.00107905
3,56.3847,1.70818,1.65082,1.18335,0.35004,0.32109,0.27604,0.11986,2.0389,4.71798,1.55984,0.00159092,0.00159092,0.00159092
4,73.7998,1.73872,1.65923,1.21749,0.72824,0.39219,0.50576,0.20602,2.13693,3.19508,1.85713,0.00156798,0.00156798,0.00156798
5,91.1409,1.72693,1.4791,1.22251,0.2893,0.38804,0.18984,0.07878,1.94663,115.671,1.46407,0.00153497,0.00153497,0.00153497
6,108.49,1.69399,1.39897,1.1985,0.78142,0.54858,0.65128,0.26044,1.96668,2.00962,1.36844,0.00150197,0.00150197,0.00150197
7,125.755,1.5893,1.31058,1.16208,0.79914,0.44983,0.55422,0.23999,2.02561,2.83795,1.49309,0.00146896,0.00146896,0.00146896
8,142.863,1.61897,1.34113,1.1913,0.78706,0.51749,0.65859,0.32377,1.69845,1.62404,1.38301,0.00143595,0.00143595,0.00143595
9,160.32,1.58143,1.2819,1.16159,0.42119,0.64375,0.4102,0.2107,1.86247,5.55817,1.39893,0.00140295,0.00140295,0.00140295
10,177.405,1.56344,1.21072,1.16223,0.53876,0.47411,0.49266,0.2375,1.861,2.26863,1.39791,0.00136994,0.00136994,0.00136994
11,194.409,1.52014,1.15364,1.12462,0.77637,0.61022,0.70572,0.34544,1.69969,1.52504,1.37037,0.00133693,0.00133693,0.00133693
12,212.249,1.5456,1.1667,1.14362,0.80579,0.60669,0.74458,0.34759,1.85061,1.56639,1.38248,0.00130393,0.00130393,0.00130393
13,229.917,1.5155,1.1185,1.13488,0.90441,0.64442,0.76169,0.35777,1.78337,1.46668,1.34886,0.00127092,0.00127092,0.00127092
14,247.875,1.43029,1.05183,1.10898,0.82539,0.67675,0.75049,0.35883,1.79408,1.58828,1.36649,0.00123791,0.00123791,0.00123791
15,265.292,1.51172,1.10553,1.11749,0.89575,0.72276,0.79122,0.33255,1.82717,1.72166,1.28929,0.00120491,0.00120491,0.00120491
